Station Code,Station Name,ICS Code,Postcode
"NUM","Northumberland Park","910GNMBRLPK","N170SS"
"NWB","North Wembley","910GNWEMBLY","HA97LY"
"NWD","Norwood Junction","910GNORWDJ","SE256YZ"
"NWX","New Cross","910GNWCRELL","SE84BD"
"NXG","New Cross Gate","910GNEWXGEL","SE146BJ"
"OKL","Oakleigh Park","910GOKLGHPK","EN48DA"
"OLD","Old Street","910GOLDST","N16AJ"
"ORP","Orpington","910GORPNGTN","BR68AD"
"OTF","Otford","910GOTFORD","TN145QX"
"PAA","Paddington CROSSRAIL",,"W21EE"
"PAD","Paddington","910GPADTON","W21EE"
"PAL","Palmers Green","910GPALMRSG","N134RD"
"PET","Petts Wood","910GPETSWD","BR51LS"
"PLU","Plumstead","910GPLMS","SE280BJ"
"PMR","Peckham Rye","910GPCKHMRY","SE155BY"
"PNE","Penge East","910GPNGEE","SE265PB"
"PNW","Penge West","910GPENEW","SE208DR"
"PON","Ponders End","910GPNDRSEN","EN34QQ"
"PUO","Purley Oaks","910GPURLEYO","CR20QA"
"PUR","Purley","910GPURLEY","CR82AW"
"PUT","Putney","910GPUTNEY","SW151TA"
"QPW","QPK","Queens Park","910GQPRK","NW66NN"
"QRB","Queenstown Road (Battersea)","910GQTRDBAT","SW84LR"
"QRP","Queens Road (Peckham)","910GPCKHMQD","SE152NB"
"RAY","Raynes Park","910GRAYNSPK","SW200LT"
"RDD","Riddlesdown","910GRDLSDWN","CR81XL"
"REC","Rectory Road","910GRCTRYRD","N167RX"
"RHM","Reedham (Surrey)","910GREEDHMS","CR84DB"
"RMD","Richmond","910GRICHMND","TW92QW"
"RMF","Romford","910GROMFORD","RM11AU"
"RNM","Rainham (Essex)","910GRNHAME","RM139YN"
"ROE","Rotherhithe","910GCNDAW","SE164LG"
"RVB","Ravensbourne","910GRBRN","BR35HG"
"SAJ","St Johns (London)","910GSTJOHNS","SE84ED"
"SAT","South Acton","910GSACTON","W38UB"
"SBM","South Bermondsey","910GSBRMNDS","SE163LL"
"SBP","Stonebridge Park","910GSTNBGPK","HA96HW"
"SBU","Southbury","910GSBURY","EN11UB"
"SCY","South Croydon","910GSCROYDN","CR01JT"
"SDC","Shoreditch High Street","910GSHRDHST","EC2A3HB"
"SDE","Shadwell","910GSHADWEL","E12NW"
"SDH","Sudbury Hill Harrow","910GSDBRYHH","UB60HU"
"SDS","SFS","Southfields","940GZZLUSFS","SW196LL"
"SEH","Shoreham (Kent)","910GSHRMKT","TN147RT"
"SFA","Stratford International","910GSTFODOM","E151DB"
"SGN","South Greenford","910GSGFORD","UB68BJ"
"SGR","Slade Green","910GSLADEGN","DA82PB"
"SID","Sidcup","910GSIDCUP","DA157AN"
"SIH","St Helier (Surrey)","910GSHLIER","SM45NP"
"SJS","St James Street","910GSTJMSST","E177ES"
"SKW","Stoke Newington","910GSTKNWNG","N165SQ"
"SLV","Silver Street","910GSIVRST","N182UF"
"SMG","St Margarets (London)","910GSTMGTS","TW11RW"
"SMH","Stamford Hill","910GSTMFDHL","N156PX"
"SMO","South Merton","910GSMERTON","SW193LT"
"SMY","St Mary Cray","910GSTMRYC","BR52PQ"
"SNR","Sanderstead","910GSDSD","CR20PW"
"SOH","South Hampstead","910GSHMPSTD","NW63SG"
"SOK","South Kenton","910GSKENTON","HA98RY"
"SPB","Shepherds Bush","910GSHPDSB","W128AY"
"SQE","Surrey Quays","910GSURREYQ","SE167LL"
"SRA","SFD","Stratford","910GSTFD","E151DE"
"SRC","Streatham Common","910GSTRHCOM","SW165PH"
"SRH","Streatham Hill","910GSTRHILL","SW24RU"
"SRS","Selhurst","910GSELHRST","SE256NS"
"SRT","Shortlands","910GSHRTLND","BR20BN"
"SRU","South Ruislip","910GSRUISLP","HA46TP"
"STE","Streatham (Greater London)","910GSTRETHM","SW166BS"
"STL","Southall","910GSTHALL","UB11DW"
"STO","South Tottenham","910GSTOTNHM","N155PB"
"STP","St Pancras International","910GSTPADOM","NW12QL"
"STW","Strawberry Hill","910GSTRWBYH","TW25UA"
"SUD","Sudbury & Harrow Road","910GSDBRYHR","HA02LZ"
"SUP","Sundridge Park","910GSNDP","BR14DT"
"SUR","Surbiton","910GSURBITN","KT64RD"
