CRS Code,Station Name,Sixteen Character Name,Longitude,Latitude,Station Operator,National Location Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Ticket Office Mon-Fri Start,Ticket Office Mon-Fri End,Ticket Office Sat Start,Ticket Office Sat End,Ticket Office Sun Start,Ticket Office Sun End,Toilets Available,Wheelchairs Available
CLS,Chester-le-Street,CHESTER LE ST,-1.578018751,54.85459856,NT,773600,,,,,,,,,,,,false,
CHD,Chesterfield,CHESTERFIELD.,-1.420109085,53.23824054,EM,661500,,,,,,05:15:00.000,19:00:00.000,06:15:00.000,18:00:00.000,08:30:00.000,21:00:00.000,true,true
CSW,Chestfield & Swalecliffe,-,1.067706206,51.36032694,SE,520000,,,,,,,,,,,,false,
CNO,Chetnole,CHETNOLE,-2.574046181,50.86648406,GW,584000,,,,,,,,,,,,false,false
CCH,Chichester,CHICHESTER,-0.781752603,50.83204016,SN,525500,,,,,,05:20:00.000,22:45:00.000,05:20:00.000,22:45:00.000,06:50:00.000,21:45:00.000,true,true
CIL,Chilham,CHILHAM,0.97591547,51.24461449,SE,500900,,,,,,,,,,,,false,
CHL,Chilworth,CHILWORTH,-0.524818359,51.21521009,GW,529600,,,,,,,,,,,,false,false
CHI,Chingford,CHINGFORD,0.0099060858,51.6330943168,LO,691400,,,,,,06:00:00.000,20:00:00.000,07:00:00.000,20:00:00.000,08:00:00.000,15:40:00.000,true,true
CLY,Chinley,CHINLEY,-1.944399045,53.34030561,NT,282300,,,,,,,,,,,,false,
CPM,Chippenham,CHIPPENHAM,-2.115402682,51.46248638,GW,326700,,,,,,05:50:00.000,20:00:00.000,05:50:00.000,19:30:00.000,07:40:00.000,19:50:00.000,true,true
CHP,Chipstead,CHIPSTEAD,-0.169427771,51.30932005,SN,535300,,,,,,06:10:00.000,10:40:00.000,,,,,false,false
CRK,Chirk,CHIRK,-3.065655601,52.93310252,AW,444900,,,,,,,,,,,,false,false
CIT,Chislehurst,CHISLEHURST,0.057426909,51.40555763,SE,509900,,,,,,06:10:00.000,19:30:00.000,07:00:00.000,19:15:00.000,08:15:00.000,15:40:00.000,true,
CHK,Chiswick,CHISWICK,-0.267834947,51.48114063,SW,558300,,,,,,06:15:00.000,10:15:00.000,,,,,false,false
CHO,Cholsey,CHOLSEY,-1.158018612,51.57020166,GW,303100,,,,,,06:10:00.000,12:40:00.000,07:00:00.000,13:30:00.000,,,true,false
CRL,Chorley,CHORLEY,-2.626775381,53.65255337,NT,274500,,,,,,06:25:00.000,19:00:00.000,06:25:00.000,21:00:00.000,08:30:00.000,19:00:00.000,true,
CLW,Chorleywood,CHORLEYWOOD UND,-0.5183116683,51.6542489506,LT,054600,,,,,,,,,,,,true,
CHR,Christchurch,CHRISTCHURCH.,-1.784549578,50.73820038,SW,587900,,,,,,06:00:00.000,12:55:00.000,07:00:00.000,14:00:00.000,08:45:00.000,12:45:00.000,true,false
CHH,Christs Hospital,CHRISTS HOSPITAL,-0.363547086,51.0506779,SN,531900,,,,,,06:40:00.000,10:40:00.000,,,,,false,false
CTW,Church & Oswaldtwistle,-,-2.390909816,53.75035199,NT,255600,,,,,,,,,,,,false,false
CHF,Church Fenton,CHURCH FENTON,-1.227441339,53.82633993,NT,823300,,,,,,,,,,,,false,
CTT,Church Stretton,CHURCH STRETTON,-2.803701777,52.53743385,AW,436500,,,,,,,,,,,,false,false
CIM,Cilmeri,CIM,-3.456554526,52.15053253,AW,3785,,,,,,,,,,,,false,false
CTK,City Thameslink,CITYTHAMESLINK,-0.10358,51.51394,TL,512100,,,,,,07:15:00.000,19:45:00.000,,,,,true,true
CLT,Clacton-on-Sea,CLACTON.,1.154105287,51.79401273,LE,685000,,,,,,05:15:00.000,18:00:00.000,05:15:00.000,18:00:00.000,07:15:00.000,16:30:00.000,true,true
CLA,Clandon,CLANDON,-0.502759414,51.26400351,SW,555500,,,,,,06:25:00.000,11:00:00.000,,,,,true,false
CPY,Clapham (North Yorkshire),CLAPHAM YORKS,-2.409841839,54.10539906,NT,265300,,,,,,,,,,,,false,
CLP,Clapham High Street,CLAPHAM HIGH ST,-0.1325177136,51.465484156,LO,530100,,,,,,,,,,,,false,
CLJ,Clapham Junction,CLAPHAM JUNCTION,-0.170247351,51.46419065,NR,559500,,,,,,06:15:00.000,21:30:00.000,06:15:00.000,21:30:00.000,07:15:00.000,21:30:00.000,true,true
CPT,Clapton,CLAPTON,-0.0570179552,51.5616497199,LO,692600,,,,,,07:30:00.000,10:00:00.000,,,,,false,true
CLR,Clarbeston Road,CLARBESTON ROAD,-4.88213,51.85182,AW,406900,,,,,,,,,,,,false,false
CKS,Clarkston,CLARKSTON,-4.27563799,55.78934082,SR,979200,,,,,,06:40:00.000,13:04:00.000,06:40:00.000,13:04:00.000,,,true,false
CLV,Claverdon,CLAVERDON,-1.696566679,52.27710206,WM,459300,,,,,,,,,,,,false,
CLG,Claygate,CLAYGATE,-0.348236165,51.36121463,SW,555600,,,,,,06:20:00.000,13:00:00.000,08:00:00.000,13:00:00.000,,,,false
